"SamplePeriod","TriggerSample","CompressedData"
"0.00000002","4112","True"
"SampleNumber","DSP_I2C0","DSP_I2C1","Clock2","Clock1","ADCout","Data0","Data1","Data2","Data3","Data4","Data5","Data6","Data7","Data8","Data9","Data10","Data11","Data12","Data13"
"2280","","","1","0","29D0h","0","0","0","0","1","0","1","1","1","0","0","1","0","1"
"2288","","","1","0","2A45h","1","0","1","0","0","0","1","0","0","1","0","1","0","1"
"2296","","","1","0","2AB9h","1","0","0","1","1","1","0","1","0","1","0","1","0","1"
"2304","","","1","0","2B30h","0","0","0","0","1","1","0","0","1","1","0","1","0","1"
"2312","","","1","0","2BAAh","0","1","0","1","0","1","0","1","1","1","0","1","0","1"
"2320","","","1","0","2C1Dh","1","0","1","1","1","0","0","0","0","0","1","1","0","1"
"2328","","","1","0","2C93h","1","1","0","0","1","0","0","1","0","0","1","1","0","1"
"2336","","","1","0","2D06h","0","1","1","0","0","0","0","0","1","0","1","1","0","1"
"2344","","","1","0","2D7Eh","0","1","1","1","1","1","1","0","1","0","1","1","0","1"
"2352","","","1","0","2DF1h","1","0","0","0","1","1","1","1","1","0","1","1","0","1"
"2360","","","1","0","2E69h","1","0","0","1","0","1","1","0","0","1","1","1","0","1"
"2368","","","1","0","2EDAh","0","1","0","1","1","0","1","1","0","1","1","1","0","1"
"2376","","","1","0","2F5Bh","1","1","0","1","1","0","1","0","1","1","1","1","0","1"
"2384","","","1","0","2FCAh","0","1","0","1","0","0","1","1","1","1","1","1","0","1"
"2392","","","1","0","303Fh","1","1","1","1","1","1","0","0","0","0","0","0","1","1"
"2400","","","1","0","30B5h","1","0","1","0","1","1","0","1","0","0","0","0","1","1"
"2408","","","1","0","312Ch","0","0","1","1","0","1","0","0","1","0","0","0","1","1"
