"SamplePeriod","TriggerSample","CompressedData"
"0.00000002","1022","True"
"SampleNumber","DSP_I2C0","DSP_I2C1","Clock2","Clock1","ADCout","Data0","Data1","Data2","Data3","Data4","Data5","Data6","Data7","Data8","Data9","Data10","Data11","Data12","Data13"
"450","","","1","0","08B3h","1","1","0","0","1","1","0","1","0","0","0","1","0","0"
"452","","","1","0","089Bh","1","1","0","1","1","0","0","1","0","0","0","1","0","0"
"454","","","1","0","087Ch","0","0","1","1","1","1","1","0","0","0","0","1","0","0"
"456","","","1","0","085Ch","0","0","1","1","1","0","1","0","0","0","0","1","0","0"
"458","","","1","0","0841h","1","0","0","0","0","0","1","0","0","0","0","1","0","0"
"460","","","1","0","0828h","0","0","0","1","0","1","0","0","0","0","0","1","0","0"
"462","","","1","0","080Ah","0","1","0","1","0","0","0","0","0","0","0","1","0","0"
"464","","","1","0","07EDh","1","0","1","1","0","1","1","1","1","1","1","0","0","0"
"466","","","1","0","07CEh","0","1","1","1","0","0","1","1","1","1","1","0","0","0"
"468","","","1","0","07B0h","0","0","0","0","1","1","0","1","1","1","1","0","0","0"
"470","","","1","0","0792h","0","1","0","0","1","0","0","1","1","1","1","0","0","0"
"472","","","1","0","0774h","0","0","1","0","1","1","1","0","1","1","1","0","0","0"
"474","","","1","0","0756h","0","1","1","0","1","0","1","0","1","1","1","0","0","0"
"476","","","1","0","0738h","0","0","0","1","1","1","0","0","1","1","1","0","0","0"
"478","","","1","0","071Eh","0","1","1","1","1","0","0","0","1","1","1","0","0","0"
"480","","","1","0","0701h","1","0","0","0","0","0","0","0","1","1","1","0","0","0"
"482","","","1","0","06E4h","0","0","1","0","0","1","1","1","0","1","1","0","0","0"
"484","","","1","0","06CAh","0","1","0","1","0","0","1","1","0","1","1","0","0","0"
"486","","","1","0","06AAh","0","1","0","1","0","1","0","1","0","1","1","0","0","0"
"488","","","1","0","0690h","0","0","0","0","1","0","0","1","0","1","1","0","0","0"
"490","","","1","0","0671h","1","0","0","0","1","1","1","0","0","1","1","0","0","0"
"492","","","1","0","0659h","1","0","0","1","1","0","1","0","0","1","1","0","0","0"
"494","","","1","0","063Ah","0","1","0","1","1","1","0","0","0","1","1","0","0","0"
"496","","","1","0","0618h","0","0","0","1","1","0","0","0","0","1","1","0","0","0"
"498","","","1","0","05FAh","0","1","0","1","1","1","1","1","1","0","1","0","0","0"
"500","","","1","0","05E3h","1","1","0","0","0","1","1","1","1","0","1","0","0","0"
"502","","","1","0","05C6h","0","1","1","0","0","0","1","1","1","0","1","0","0","0"
"504","","","1","0","05AAh","0","1","0","1","0","1","0","1","1","0","1","0","0","0"
"506","","","1","0","058Bh","1","1","0","1","0","0","0","1","1","0","1","0","0","0"
"508","","","1","0","056Fh","1","1","1","1","0","1","1","0","1","0","1","0","0","0"
"510","","","1","0","054Fh","1","1","1","1","0","0","1","0","1","0","1","0","0","0"
"512","","","1","0","0532h","0","1","0","0","1","1","0","0","1","0","1","0","0","0"
"514","","","1","0","0517h","1","1","1","0","1","0","0","0","1","0","1","0","0","0"
"516","","","1","0","04FBh","1","1","0","1","1","1","1","1","0","0","1","0","0","0"
"518","","","1","0","04DDh","1","0","1","1","1","0","1","1","0","0","1","0","0","0"
"520","","","1","0","04C3h","1","1","0","0","0","0","1","1","0","0","1","0","0","0"
"522","","","1","0","04A7h","1","1","1","0","0","1","0","1","0","0","1","0","0","0"
"524","","","1","0","0488h","0","0","0","1","0","0","0","1","0","0","1","0","0","0"
"526","","","1","0","046Eh","0","1","1","1","0","1","1","0","0","0","1","0","0","0"
"528","","","1","0","0452h","0","1","0","0","1","0","1","0","0","0","1","0","0","0"
"530","","","1","0","0430h","0","0","0","0","1","1","0","0","0","0","1","0","0","0"
"532","","","1","0","0420h","0","0","0","0","0","1","0","0","0","0","1","0","0","0"
"534","","","1","0","042Ch","0","0","1","1","0","1","0","0","0","0","1","0","0","0"
"536","","","1","0","044Eh","0","1","1","1","0","0","1","0","0","0","1","0","0","0"
"538","","","1","0","046Fh","1","1","1","1","0","1","1","0","0","0","1","0","0","0"
"540","","","1","0","048Bh","1","1","0","1","0","0","0","1","0","0","1","0","0","0"
"542","","","1","0","04A7h","1","1","1","0","0","1","0","1","0","0","1","0","0","0"
"544","","","1","0","04C0h","0","0","0","0","0","0","1","1","0","0","1","0","0","0"
"546","","","1","0","04E1h","1","0","0","0","0","1","1","1","0","0","1","0","0","0"
"548","","","1","0","04FAh","0","1","0","1","1","1","1","1","0","0","1","0","0","0"
"550","","","1","0","0519h","1","0","0","1","1","0","0","0","1","0","1","0","0","0"
"552","","","1","0","0534h","0","0","1","0","1","1","0","0","1","0","1","0","0","0"
"554","","","1","0","0554h","0","0","1","0","1","0","1","0","1","0","1","0","0","0"
"556","","","1","0","056Ch","0","0","1","1","0","1","1","0","1","0","1","0","0","0"
"558","","","1","0","058Ch","0","0","1","1","0","0","0","1","1","0","1","0","0","0"
"560","","","1","0","05ACh","0","0","1","1","0","1","0","1","1","0","1","0","0","0"
"562","","","1","0","05CBh","1","1","0","1","0","0","1","1","1","0","1","0","0","0"
"564","","","1","0","05E5h","1","0","1","0","0","1","1","1","1","0","1","0","0","0"
"566","","","1","0","0602h","0","1","0","0","0","0","0","0","0","1","1","0","0","0"
"568","","","1","0","061Ch","0","0","1","1","1","0","0","0","0","1","1","0","0","0"
"570","","","1","0","063Ah","0","1","0","1","1","1","0","0","0","1","1","0","0","0"
"572","","","1","0","0658h","0","0","0","1","1","0","1","0","0","1","1","0","0","0"
"574","","","1","0","0672h","0","1","0","0","1","1","1","0","0","1","1","0","0","0"
"576","","","1","0","068Ch","0","0","1","1","0","0","0","1","0","1","1","0","0","0"
"578","","","1","0","06AAh","0","1","0","1","0","1","0","1","0","1","1","0","0","0"
"580","","","1","0","06CAh","0","1","0","1","0","0","1","1","0","1","1","0","0","0"
"582","","","1","0","06E6h","0","1","1","0","0","1","1","1","0","1","1","0","0","0"
"584","","","1","0","0703h","1","1","0","0","0","0","0","0","1","1","1","0","0","0"
"586","","","1","0","071Fh","1","1","1","1","1","0","0","0","1","1","1","0","0","0"
"588","","","1","0","0739h","1","0","0","1","1","1","0","0","1","1","1","0","0","0"
"590","","","1","0","0759h","1","0","0","1","1","0","1","0","1","1","1","0","0","0"
"592","","","1","0","0777h","1","1","1","0","1","1","1","0","1","1","1","0","0","0"
"594","","","1","0","0792h","0","1","0","0","1","0","0","1","1","1","1","0","0","0"
"596","","","1","0","07B0h","0","0","0","0","1","1","0","1","1","1","1","0","0","0"
"598","","","1","0","07CBh","1","1","0","1","0","0","1","1","1","1","1","0","0","0"
"600","","","1","0","07E7h","1","1","1","0","0","1","1","1","1","1","1","0","0","0"
"602","","","1","0","0803h","1","1","0","0","0","0","0","0","0","0","0","1","0","0"
"604","","","1","0","0820h","0","0","0","0","0","1","0","0","0","0","0","1","0","0"
"606","","","1","0","0842h","0","1","0","0","0","0","1","0","0","0","0","1","0","0"
"608","","","1","0","0859h","1","0","0","1","1","0","1","0","0","0","0","1","0","0"
"610","","","1","0","087Ah","0","1","0","1","1","1","1","0","0","0","0","1","0","0"
