EPOCH_TIME                ALARM_STATUS              INST_STATUS               Delta_High_Conc_Raw_iCH4  C13_Delta_Raw             CH4                       ValveMask                 GPS_ABS_LAT               GPS_ABS_LONG              GPS_FIT                   
1321423483.183            0                         963                       -3.0183323467E+001        -3.6892465014E+001        7.1328568055E+000         5.0000000000E+000         3.7377394690E+001         -1.2197986908E+002        1.0000000000E+000         
1321423483.791            0                         963                       -2.7651923017E+001        -3.7820365068E+001        7.2346624823E+000         5.0000000000E+000         3.7377488347E+001         -1.2198005968E+002        1.0000000000E+000         
1321423484.397            0                         963                       -2.7651923017E+001        -3.7820365068E+001        7.2346624823E+000         5.0000000000E+000         3.7377573048E+001         -1.2198026474E+002        1.0000000000E+000         
1321423485.340            0                         963                       -3.1372667281E+001        -3.6794786089E+001        7.2583610365E+000         5.0000000000E+000         3.7377649131E+001         -1.2198048707E+002        1.0000000000E+000         
1321423486.273            0                         963                       -2.9660529264E+001        -3.9541648866E+001        7.1972023538E+000         5.0000000000E+000         3.7377711575E+001         -1.2198070742E+002        1.0000000000E+000         
1321423487.220            0                         963                       -2.7697363343E+001        -3.8834041492E+001        7.0500714048E+000         5.0000000000E+000         3.7377763067E+001         -1.2198093145E+002        1.0000000000E+000         
1321423488.293            0                         963                       -2.7861167311E+001        -3.8356411520E+001        6.7927264385E+000         5.0000000000E+000         3.7377803659E+001         -1.2198116009E+002        1.0000000000E+000         
1321423489.253            0                         963                       -3.0001464293E+001        -3.7939577191E+001        6.3598756089E+000         5.0000000000E+000         3.7377832514E+001         -1.2198139694E+002        1.0000000000E+000         
1321423489.864            0                         963                       -3.2861357909E+001        -3.7992668122E+001        5.8268144978E+000         5.0000000000E+000         3.7377849407E+001         -1.2198163700E+002        1.0000000000E+000         
1321423490.508            0                         963                       -3.2861357909E+001        -3.7992668122E+001        5.8268144978E+000         5.0000000000E+000         3.7377856922E+001         -1.2198188014E+002        1.0000000000E+000         
1321423491.470            0                         963                       -2.3577487103E+001        -3.6034932989E+001        5.0187815480E+000         5.0000000000E+000         3.7377858604E+001         -1.2198212567E+002        1.0000000000E+000         
1321423492.387            0                         963                       -2.4366274354E+001        -3.5043700859E+001        4.4147246165E+000         5.0000000000E+000         3.7377857860E+001         -1.2198236890E+002        1.0000000000E+000         
1321423493.329            0                         963                       -2.4012366102E+001        -3.2712458921E+001        3.9440493057E+000         5.0000000000E+000         3.7377856242E+001         -1.2198260733E+002        1.0000000000E+000         
1321423494.265            0                         963                       -2.6753459031E+001        -3.5489528994E+001        3.5575676116E+000         5.0000000000E+000         3.7377854062E+001         -1.2198284437E+002        1.0000000000E+000         
1321423495.211            0                         963                       -2.6715773781E+001        -3.5884490735E+001        3.2646564360E+000         5.0000000000E+000         3.7377851959E+001         -1.2198309054E+002        1.0000000000E+000         
1321423495.826            0                         963                       -1.2397146622E+001        -3.2220488189E+001        3.0279441675E+000         5.0000000000E+000         3.7377850059E+001         -1.2198333276E+002        1.0000000000E+000         
1321423496.475            0                         963                       -1.2397146622E+001        -3.2220488189E+001        3.0279441675E+000         5.0000000000E+000         3.7377847981E+001         -1.2198356046E+002        1.0000000000E+000         
