EPOCH_TIME                ALARM_STATUS              GPS_ABS_LONG              GPS_ABS_LAT               CH4                       
1316253064.519            0                         -1.2244149915e+02         3.7784087209e+01          1.8978159464e+00          
1316253065.707            0                         -1.2244142832e+02         3.7784095865e+01          1.8995082422e+00          
1316253066.884            0                         -1.2244135648e+02         3.7784104458e+01          1.9033103412e+00          
1316253068.019            0                         -1.2244128229e+02         3.7784113747e+01          1.9055736994e+00          
1316253069.180            0                         -1.2244120172e+02         3.7784124047e+01          1.9087562580e+00          
1316253070.335            0                         -1.2244111874e+02         3.7784134229e+01          1.9119877965e+00          
1316253071.463            0                         -1.2244103467e+02         3.7784144398e+01          1.9299738756e+00          
1316253072.661            0                         -1.2244094197e+02         3.7784155458e+01          1.9467586619e+00          
1316253073.824            0                         -1.2244085090e+02         3.7784167141e+01          1.9306186343e+00          
1316253074.957            0                         -1.2244076193e+02         3.7784179349e+01          1.9153135791e+00          
1316253076.051            0                         -1.2244067620e+02         3.7784192199e+01          1.9091459148e+00          
1316253077.141            0                         -1.2244059048e+02         3.7784204812e+01          1.9111645394e+00          
1316253078.288            0                         -1.2244049950e+02         3.7784217143e+01          1.9091494634e+00          
1316253079.455            0                         -1.2244040654e+02         3.7784229491e+01          1.8971493550e+00          
1316253080.605            0                         -1.2244031498e+02         3.7784241352e+01          1.8900617448e+00          
1316253081.709            0                         -1.2244022671e+02         3.7784251795e+01          1.9042605750e+00          
1316253082.835            0                         -1.2244013753e+02         3.7784261897e+01          1.8825177047e+00          
1316253083.943            0                         -1.2244005643e+02         3.7784270771e+01          1.8636153882e+00          
1316253085.055            0                         -1.2243998606e+02         3.7784278185e+01          1.8553145821e+00          
1316253086.161            0                         -1.2243992741e+02         3.7784284423e+01          1.8555716143e+00          
1316253087.296            0                         -1.2243988157e+02         3.7784289735e+01          1.8570526245e+00          
1316253088.394            0                         -1.2243985088e+02         3.7784290758e+01          1.8545547840e+00          
1316253089.496            0                         -1.2243982969e+02         3.7784289563e+01          1.8498858604e+00          
1316253090.625            0                         -1.2243980666e+02         3.7784282195e+01          1.8482300183e+00          
1316253091.804            0                         -1.2243977684e+02         3.7784262981e+01          1.8468159344e+00          
1316253092.911            0                         -1.2243975319e+02         3.7784230204e+01          1.8464180301e+00          
1316253094.024            0                         -1.2243973497e+02         3.7784190566e+01          1.8439942805e+00          
1316253095.189            0                         -1.2243972916e+02         3.7784173394e+01          1.8406927546e+00          
1316253096.345            0                         -1.2243970885e+02         3.7784087056e+01          1.8420650755e+00          
1316253097.482            0                         -1.2243969709e+02         3.7784028766e+01          1.8415481705e+00          
1316253098.579            0                         -1.2243968544e+02         3.7783969228e+01          1.8438751561e+00          
1316253099.672            0                         -1.2243967512e+02         3.7783914869e+01          1.8444602780e+00          
1316253100.759            0                         -1.2243966746e+02         3.7783851091e+01          1.8429294153e+00          
1316253101.805            0                         -1.2243966025e+02         3.7783792359e+01          1.8421318426e+00          
1316253102.883            0                         -1.2243965243e+02         3.7783738319e+01          1.8396820424e+00          
1316253103.993            0                         -1.2243964288e+02         3.7783684228e+01          1.8395703307e+00          
1316253105.128            0                         -1.2243963221e+02         3.7783630557e+01          1.8391383044e+00          
1316253106.239            0                         -1.2243962143e+02         3.7783583058e+01          1.8368749380e+00          
1316253107.389            0                         -1.2243961181e+02         3.7783539180e+01          1.8348872010e+00          
1316253108.528            0                         -1.2243960652e+02         3.7783502438e+01          1.8389083801e+00          
1316253109.652            0                         -1.2243960821e+02         3.7783473004e+01          1.8445262203e+00          
1316253110.742            0                         -1.2243961964e+02         3.7783445760e+01          1.8499403842e+00          
1316253111.913            0                         -1.2243964999e+02         3.7783417071e+01          1.8543239390e+00          
1316253113.063            0                         -1.2243970011e+02         3.7783397827e+01          1.8562443359e+00          
1316253114.262            0                         -1.2243976749e+02         3.7783385736e+01          1.8534513802e+00          
1316253115.386            0                         -1.2243983847e+02         3.7783375426e+01          1.8476820265e+00          
1316253116.557            0                         -1.2243991811e+02         3.7783363407e+01          1.8427707773e+00          
1316253117.712            0                         -1.2243999879e+02         3.7783352834e+01          1.8409032003e+00          
1316253118.898            0                         -1.2244008177e+02         3.7783341294e+01          1.8403873892e+00          
1316253120.053            0                         -1.2244016612e+02         3.7783329731e+01          1.8419139267e+00          
1316253121.162            0                         -1.2244024938e+02         3.7783317119e+01          1.8446209107e+00          
1316253122.293            0                         -1.2244033636e+02         3.7783305117e+01          1.8430947915e+00          
1316253123.431            0                         -1.2244042914e+02         3.7783301760e+01          1.8529067756e+00          
1316253124.550            0                         -1.2244051460e+02         3.7783287845e+01          1.8755335919e+00          
1316253125.652            0                         -1.2244056970e+02         3.7783263527e+01          1.8710527487e+00          
1316253126.768            0                         -1.2244065000e+02         3.7783239872e+01          1.8574360682e+00          
1316253127.881            0                         -1.2244074050e+02         3.7783222640e+01          1.8494112405e+00          
1316253128.965            0                         -1.2244075710e+02         3.7783219796e+01          1.8423752594e+00          
1316253130.083            0                         -1.2244088513e+02         3.7783171031e+01          1.8387358551e+00          
1316253131.232            0                         -1.2244097437e+02         3.7783151524e+01          1.8361256834e+00          
1316253132.362            0                         -1.2244112448e+02         3.7783196588e+01          1.8386104289e+00          
1316253133.502            0                         -1.2244122081e+02         3.7783186801e+01          1.8438034236e+00          
1316253134.591            0                         -1.2244131276e+02         3.7783173427e+01          1.8448181672e+00          
1316253135.736            0                         -1.2244140854e+02         3.7783155925e+01          1.8418366935e+00          
1316253136.880            0                         -1.2244150247e+02         3.7783137417e+01          1.8418908636e+00          
1316253137.967            0                         -1.2244159138e+02         3.7783120254e+01          1.8417395374e+00          
1316253139.041            0                         -1.2244167812e+02         3.7783102496e+01          1.8543390572e+00          
1316253140.174            0                         -1.2244176885e+02         3.7783083664e+01          1.8818121740e+00          
1316253141.337            0                         -1.2244186213e+02         3.7783066737e+01          1.8892683468e+00          
1316253142.440            0                         -1.2244194975e+02         3.7783050820e+01          1.8756207572e+00          
