EPOCH_TIME                ALARM_STATUS              CH4                       GPS_TIME                  GPS_ABS_LAT               GPS_REL_LAT               GPS_ABS_LONG              GPS_REL_LONG              GPS_FIT                   
1316238653.421            0                         1.8101170069E+000         2.1053000000E+004         3.7650833527E+001         6.5083352722E-001         -1.2240666275E+002        -4.0666274811E-001        2.0000000000E+000         
1316238654.515            0                         1.8128221496E+000         2.1054000000E+004         3.7651086546E+001         6.5108654632E-001         -1.2240668324E+002        -4.0668324406E-001        2.0000000000E+000         
1316238655.609            0                         1.8120188228E+000         2.1055000000E+004         3.7651338521E+001         6.5133852129E-001         -1.2240670272E+002        -4.0670272316E-001        2.0000000000E+000         
1316238656.681            0                         1.8127548957E+000         2.1056000000E+004         3.7651584450E+001         6.5158445027E-001         -1.2240672208E+002        -4.0672207920E-001        2.0000000000E+000         
1316238657.738            0                         1.8136659212E+000         2.1057000000E+004         3.7651826041E+001         6.5182604059E-001         -1.2240674240E+002        -4.0674239789E-001        2.0000000000E+000         
1316238658.785            0                         1.8140227076E+000         2.1058000000E+004         3.7652064487E+001         6.5206448718E-001         -1.2240676409E+002        -4.0676408894E-001        2.0000000000E+000         
1316238659.832            0                         1.8137752853E+000         2.1059000000E+004         3.7652300417E+001         6.5230041696E-001         -1.2240678582E+002        -4.0678581999E-001        2.0000000000E+000         
1316238660.887            0                         1.8149656627E+000         2.1060000000E+004         3.7652533874E+001         6.5253387420E-001         -1.2240680644E+002        -4.0680644214E-001        2.0000000000E+000         
1316238661.994            0                         1.8169968170E+000         2.1061000000E+004         3.7652774622E+001         6.5277462156E-001         -1.2240682694E+002        -4.0682694355E-001        2.0000000000E+000         
1316238663.077            0                         1.8190630454E+000         2.1062000000E+004         3.7653008881E+001         6.5300888098E-001         -1.2240684521E+002        -4.0684521321E-001        2.0000000000E+000         
1316238664.160            0                         1.8196729653E+000         2.1064000000E+004         3.7653242570E+001         6.5324257000E-001         -1.2240686053E+002        -4.0686052868E-001        2.0000000000E+000         
1316238665.280            0                         1.8161668339E+000         2.1065000000E+004         3.7653483480E+001         6.5348347977E-001         -1.2240686901E+002        -4.0686901399E-001        2.0000000000E+000         
1316238666.348            0                         1.8167411937E+000         2.1066000000E+004         3.7653712728E+001         6.5371272842E-001         -1.2240686894E+002        -4.0686893994E-001        2.0000000000E+000         
1316238667.410            0                         1.8169070226E+000         2.1067000000E+004         3.7653941048E+001         6.5394104830E-001         -1.2240686092E+002        -4.0686092081E-001        2.0000000000E+000         
1316238668.489            0                         1.8176892236E+000         2.1068000000E+004         3.7654174823E+001         6.5417482300E-001         -1.2240684406E+002        -4.0684405970E-001        2.0000000000E+000         
1316238669.539            0                         1.8216833391E+000         2.1069000000E+004         3.7654404735E+001         6.5440473484E-001         -1.2240682002E+002        -4.0682002209E-001        2.0000000000E+000         
1316238670.609            0                         1.8249672235E+000         2.1070000000E+004         3.7654641388E+001         6.5464138778E-001         -1.2240678647E+002        -4.0678647274E-001        2.0000000000E+000         
1316238671.704            0                         1.8299884301E+000         2.1071000000E+004         3.7654885665E+001         6.5488566496E-001         -1.2240674282E+002        -4.0674281972E-001        2.0000000000E+000         
1316238672.790            0                         1.8297746857E+000         2.1072000000E+004         3.7655129329E+001         6.5512932895E-001         -1.2240669191E+002        -4.0669191213E-001        2.0000000000E+000         
1316238673.868            0                         1.8321990562E+000         2.1073000000E+004         3.7655373041E+001         6.5537304130E-001         -1.2240663514E+002        -4.0663514194E-001        2.0000000000E+000         
1316238674.944            0                         1.8316942726E+000         2.1074000000E+004         3.7655618084E+001         6.5561808401E-001         -1.2240657154E+002        -4.0657154437E-001        2.0000000000E+000         
1316238676.070            0                         1.8288440504E+000         2.1075000000E+004         3.7655874525E+001         6.5587452489E-001         -1.2240649398E+002        -4.0649397677E-001        2.0000000000E+000         
1316238677.182            0                         1.8235450983E+000         2.1077000000E+004         3.7656126687E+001         6.5612668686E-001         -1.2240640376E+002        -4.0640376420E-001        2.0000000000E+000         
1316238678.265            0                         1.8218569509E+000         2.1078000000E+004         3.7656370776E+001         6.5637077639E-001         -1.2240630117E+002        -4.0630116713E-001        2.0000000000E+000         
1316238679.359            0                         1.8212919025E+000         2.1079000000E+004         3.7656615979E+001         6.5661597905E-001         -1.2240618461E+002        -4.0618460770E-001        2.0000000000E+000         
1316238680.430            0                         1.8222976622E+000         2.1080000000E+004         3.7656856168E+001         6.5685616842E-001         -1.2240606428E+002        -4.0606427615E-001        2.0000000000E+000         
1316238681.514            0                         1.8230460170E+000         2.1081000000E+004         3.7657099748E+001         6.5709974815E-001         -1.2240594065E+002        -4.0594065103E-001        2.0000000000E+000         
1316238682.596            0                         1.8238096040E+000         2.1082000000E+004         3.7657341489E+001         6.5734148866E-001         -1.2240581651E+002        -4.0581651057E-001        2.0000000000E+000         
